Run	Description	Time				Target	Brho [Tm]				F1 slit [mm]				F2 up slit [mm]				F2 down slit [mm]				F3 up slit [mm]				F3 down slit [mm]				
500	continue	2024.07.04	17:20:00	17:22:00	0:02:00	0.1 mm	1.33	1.33	1.2543	0	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
501	continue (F3 pla in, trigger changed)	2024.07.04	17:30:00	17:34:00	0:04:00	0.1 mm	1.33	1.33	1.2543	0	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
502	continue (F3 SSD in)	2024.07.04	17:35:00	17:38:00	0:03:00	0.1 mm	1.33	1.33	1.2543	0	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
503	continue	2024.07.04	17:38:00	17:40:00	0:02:00	0.1 mm	1.33	1.33	1.2543	0	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
504	continue	2024.07.04	17:40:00	17:43:00	0:03:00	0.1 mm	1.33	1.33	1.2543	0	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
	F3 SSD gain changed	2024.07.04																													
																															
	Change to F3 SSD																														
510	New day, New SSD setting.	2024.07.05	10:45:00			0.1 mm	1.33	1.33	1.2543	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
511	debugging anlayzer	2024.07.05	10:47:00			0.1 mm	1.33	1.33	1.2543	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
512	debugging anlayzer	2024.07.05	10:48:00			0.1 mm	1.33	1.33	1.2543	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
513	debugging anlayzer	2024.07.05	10:50:00			0.1 mm	1.33	1.33	1.2543	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
514	debugging anlayzer	2024.07.05				0.1 mm	1.33	1.33	1.2543	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
515	debugged	2024.07.05	10:54:00	10:58:00	0:04:00	0.1 mm	1.33	1.33	1.2543	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
516	(F3 SSD calibration) F2 off	2024.07.05	11:00:00	11:01:00	0:01:00	0.1 mm	1.33	1.33	1.321	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
517	continue	2024.07.05	11:02:00	11:08:00	0:06:00	0.1 mm	1.33	1.33	1.321	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
518	continue	2024.07.05	11:09:00	11:18:00	0:09:00	0.1 mm	1.33	1.33	1.321	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
519	continue	2024.07.05	11:21:00	11:27:00	0:06:00	0.1 mm	1.33	1.33	1.321	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
520	continue	2024.07.05	11:30:00	11:33:00	0:03:00	0.1 mm	1.33	1.33	1.321	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
521	continue	2024.07.05	11:33:00	11:37:00	0:04:00	0.1 mm	1.33	1.33	1.321	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
522	continue	2024.07.05	11:37:00	11:42:00	0:05:00	0.1 mm	1.33	1.33	1.321	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
523	continue	2024.07.05	13:44:00	13:50:00	0:06:00	0.1 mm	1.33	1.33	1.321	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
524	continue	2024.07.05	13:53:00	13:53:00	0:00:00	0.1 mm	1.33	1.33	1.321	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
525	continue	2024.07.05	13:55:00	14:13:00	0:18:00	0.1 mm	1.33	1.33	1.321	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
526	continue	2024.07.05	14:14:00	14:36:00	0:22:00	0.1 mm	1.33	1.33	1.321	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
527	continue	2024.07.05	14:39:00	14:40:00	0:01:00	0.1 mm	1.33	1.33	1.321	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
528	continue	2024.07.05	14:42:00	14:48:00	0:06:00	0.1 mm	1.33	1.33	1.321	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
529	continue	2024.07.05	14:52:00	14:59:00	0:07:00	0.1 mm	1.33	1.33	1.321	0	6	2	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
530	junk	2024.07.05																													
531	Q15 spread	2024.07.05																													
532	Spreaded run (Q15: -0.39907 T)	2024.07.05	15:14:00	15:20:00	0:06:00	0.1 mm	1.33	1.33	1.321	0	14	10	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
533	continue	2024.07.05	15:23:00	15:27:00	0:04:00	0.1 mm	1.33	1.33	1.321	0	14	10	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
534	continue	2024.07.05	15:29:00	15:46:00	0:17:00	0.1 mm	1.33	1.33	1.321	0	14	10	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
535	continue (junk)	2024.07.05	15:48:00	15:48:00	0:00:00	0.1 mm	1.33	1.33	1.321	0	14	10	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
536	continue	2024.07.05	15:51:00	16:23:00	0:32:00	0.1 mm	1.33	1.33	1.321	0	14	10	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
537	F1 PPAC in - Brho tuning	2024.07.05	16:28:00	16:33:00	0:05:00	0.1 mm	1.33	changing	1.3211	0.024	change	change	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
538	(6Li+10B) calibration with F1 PPAC	2024.07.05	16:33:00	16:42:00	0:09:00	0.1 mm	1.33	1.323	1.3211	0.024	33	29	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
539	continue	2024.07.05	16:43:00	16:53:00	0:10:00	0.1 mm	1.33	1.323	1.3211	0.024	43	39	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
540	continue (junk)	2024.07.05	16:54:00	16:54:00	0:00:00	0.1 mm	1.33	1.323	1.3211	0.024	43	39	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
541	continue	2024.07.05	16:57:00	17:07:00	0:10:00	0.1 mm	1.33	1.323	1.3211	0.024	43	39	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
542	Open F1 X slit	2024.07.05	17:09:00	17:12:00	0:03:00	0.1 mm	1.33	1.323	1.3211	0.024	change	change	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
543	Full F1 X slit	2024.07.05	17:12:00	17:16:00	0:04:00	0.1 mm	1.33	1.323	1.3211	0.024	190	190	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
544	continue	2024.07.05	17:17:00	17:29:00	0:12:00	0.1 mm	1.33	1.323	1.3211	0.024	190	190	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
545	continue (junk)	2024.07.05	17:31:00	17:31:00	0:00:00	0.1 mm	1.33	1.323	1.3211	0.024	190	190	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
546	Go high Z	2024.07.05	17:40:00	17:45:00	0:05:00	0.1 mm	1.33	1.2982	1.2876	0.075	change	change	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
547	(25Ne) with F1 PPAC	2024.07.05	17:47:00	17:55:00	0:08:00	0.1 mm	1.33	1.2982	1.2876	0.075	190	190	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
548	continue	2024.07.05	17:56:00	18:01:00	0:05:00	0.1 mm	1.33	1.2982	1.2876	0.075	190	190	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
